Option,Trip,Duration (days),Itinerary Summary,Important Considerations,Visa Requirements,Countries,Hot or Cold,Urban or Nature,Ease with Child (0-10),Urgency (0-10),Danger (0-10),Cost (0-10),Flight Time SFO (hrs),Flight Time ORD (hrs),Best Time to Visit (months),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sara's Been,Kenny's Been,Kenny (0-10),Sara (0-10),Sort Score,Duration Score,Temp Score,Type Score,New to Both,Visa Req,Danger Score,Child Score,Cost Score,Month Value,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TRUE,Seoul & Hong Kong,8,Explore Seoul Gyeongju Busan and traditional markets and palaces,Well connected by high speed rail and metro,No visa required for US citizens up to 90 days,South Korea,Temperate,Urban,7,3,2,5,11,14,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,10,5,87.5,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Istanbul Turkey,7,Explore the Grand Bazaar Hagia Sophia Blue Mosque and Bosphorus,Straddles Europe and Asia so offers both western and eastern cultural elements,eVisa required for US citizens,Turkey,Temperate,Urban,6,5,5,5,13,10,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,9,5,78.75,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
TRUE,Berlin Germany,8,Historic sites modern art museums vibrant neighborhoods and a dynamic food scene,English is widely spoken but public transit requires basic navigation skills,No visa required for US citizens for stays under 90 days,Germany,Temperate,Urban,8,4,2,5,13,9,May June September October,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,9,5,78.75,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Budapest Hungary,7,Visit thermal baths castles ruin bars and Danube river attractions,EU country but uses Hungarian forint not the euro,No visa required for US citizens for up to 90 days in Schengen,Hungary,Temperate,Urban,7,3,2,4,14,11,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,8,5,72,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Portugal & Azores,9,Split time between Lisbon Porto and a flight to the Azores for hiking and hot springs,Azores flights limited and weather can shift quickly on islands,No visa required for US citizens under 90 days in Schengen,Portugal,Temperate,Mix,7,4,2,5,13,9,May to October,0,0,0,0,1,1,1,1,1,1,0,0,FALSE,FALSE,8,5,70,1,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,La Paz,7,Visit Bolivia’s high altitude capital and nearby moon valley and cable cars,High elevation may require acclimatization travel infrastructure may be limited,No visa required for US citizens,Bolivia,Temperate,Mix,4,5,5,4,13,10,May to October,0,0,0,0,1,1,1,1,1,1,0,0,FALSE,FALSE,7,5,63,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Poland,9,Warsaw Krakow and historical sites along with beautiful countryside,Cold weather outside of peak months,Visa not required for US citizens up to 90 days,Poland,Temperate,Urban,7,3,3,4,13,9.5,May Jun Sep Oct,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,7,5,63,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Hong Kong,8,Explore Kowloon Victoria Peak street markets and enjoy day trips to nearby islands,Current political tensions can impact protests and stability though still safe for tourists,No visa required for US citizens,China,Temperate,Urban,6,7,5,6,14.5,16,October to December and March to May,0,0,1,1,1,0,0,0,0,1,1,1,FALSE,FALSE,7,5,59.5,1,1,1,1,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Georgia Tbilisi,9,Explore Tbilisi's old town wine regions and Caucasus mountain villages,Ongoing tensions near borders avoid Russian and South Ossetian regions,No visa required for US citizens for up to one year,Georgia,Temperate,Mix,4,5,5,3,17,13.5,May June September October,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,6,5,55.5,1,1,1,1,1,1,0,0.85,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Slovenia,8,Ljubljana Lake Bled and the Julian Alps with natural beauty and compact urban centers,Public transport may be limited in rural areas,Visa not required for US citizens up to 90 days,Slovenia,Temperate,Mix,7,4,2,4,13,11.5,May Jun Sep Oct,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,FALSE,6,5,54,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Aurora Borealis Viewing,6,Visit Fairbanks Yellowknife or Iceland to view the northern lights,Requires dark skies and clear weather plan around moon phase and cloud forecasts,Depends on country US passport holders typically do not need a visa,United States Canada Iceland Norway,Cold,Nature,4,7,2,6,6,5.5,September to March,1,1,1,0,0,0,0,0,1,1,1,1,FALSE,FALSE,6,5,51,1,1,1,1,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Prague Czech Republic,7,Visit Prague Castle Old Town Charles Bridge and enjoy Czech beer and food,Gets very crowded in summer shoulder seasons are more comfortable,No visa required for US citizens up to 90 days in Schengen,Czech Republic,Temperate,Urban,7,3,2,4,14,10,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,TRUE,FALSE,8,5,36,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Morocco,9,Visit Marrakech the Atlas Mountains and the Sahara Desert by guided tour or self-drive,Dress modestly in rural areas check travel advisories near Western Sahara,No visa required for US citizens up to 90 days,Morocco,Hot,Mix,5,4,4,4,15.5,11,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,FALSE,FALSE,4,5,36,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,New Mexico Santa Fe Hot Air Balloons,6,Visit Santa Fe art scene and attend Albuquerque Balloon Fiesta,Balloon Fiesta runs in early October book far in advance,No visa required for US citizens,United States,Temperate,Mix,6,5,3,4,2.5,3.5,September to October,0,0,0,0,0,0,0,0,1,1,0,0,FALSE,FALSE,4,5,36,1,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Greece,9,Visit Athens and island hop through Santorini Naxos or Crete,Very hot in summer ferry schedules vary by season,No visa required for US citizens up to 90 days,Greece,Hot,Mix,7,4,2,6,14,11,May to October,0,0,0,0,1,1,1,1,1,1,0,0,TRUE,FALSE,8,5,34,1,1,1,0.5,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,New Orleans,6,Experience jazz French Quarter history and local cuisine,Humidity and hurricane season in summer and fall,No visa required for US citizens,United States,Hot,Urban,5,3,4,4,4.5,2.5,February to April and October to November,0,1,1,1,0,0,0,0,0,1,1,0,FALSE,TRUE,6,5,27,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Seychelles,8,Short island getaway with beaches reef snorkeling some hiking on Mahe and Praslin,October is Creole Festival time trade-wind transitions lodging scarce without booking early,Visa-free for 30 days as US citizen,Seychelles,Hot,Nature,6,3,2,8,16,15,Oct-Nov,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,FALSE,3,5,24,1,1,1,1,1,1,0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Grand Canyon,6,Hiking rim views and possible river rafting in Arizona’s natural wonder,Summer heat can be extreme plan for hydration and sun protection,No visa required for US citizens,United States,Hot,Nature,6,3,4,4,2,4,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,TRUE,5,5,22.5,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Croatia,9,Coastal towns national parks and historic sites with Mediterranean climate,Overtourism can affect peak months,Visa not required for US citizens up to 90 days,Croatia,Temperate,Mix,7,4,3,5,13.5,10,May Jun Sep Oct,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,TRUE,5,5,21.875,1,1,1,0.5,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Carlsbad Cavern Roadtrip,6,Roadtrip to southern New Mexico to explore caves and desert scenery,Remote location with few nearby large cities or airports,No visa required for US citizens,United States,Hot,Nature,6,3,2,3,3,3.5,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,FALSE,TRUE,4,5,18.5,1,1,1,0.5,1,1,0,0.85,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Mexico City,7,Explore historic center museums art markets and nearby pyramids,High altitude air quality and traffic congestion may affect comfort,No visa required for US citizens,Mexico,Temperate,Urban,6,4,5,4,4.5,4,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,FALSE,TRUE,4,5,18,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Southeast US Roadtrip,9,Drive through Georgia Tennessee the Carolinas and Blue Ridge Parkway,Plan stops carefully for attractions versus long stretches of road,No visa required for US citizens,United States,Temperate,Mix,6,3,3,4,4.5,2,April to May and September to November,0,0,0,1,1,0,0,0,1,1,1,0,FALSE,TRUE,4,5,18,1,1,1,0.5,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Rio De Janeiro,8,Visit Sugarloaf Christ the Redeemer Ipanema Copacabana and hike in Tijuca,Higher crime risk in some neighborhoods and summer is very hot,eVisa required starting 2025,Brazil,Hot,Mix,4,5,6,5,15,11,May to October,0,0,0,0,1,1,1,1,1,1,0,0,FALSE,FALSE,8,5,0,1,1,1,1,1,0,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Israel,9,Tour Jerusalem Tel Aviv the Dead Sea and religious landmarks,Ongoing regional tensions and elevated travel advisories,No visa required for US citizens up to 90 days,Israel,Hot,Mix,4,7,8,6,15.5,11,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,FALSE,FALSE,7,5,0,1,1,1,1,1,0,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Rome Italy,8,Visit the Colosseum Vatican Roman Forum and enjoy food and piazzas,Can be crowded in summer and some attractions require advance booking,No visa required for US citizens up to 90 days,Italy,Temperate,Urban,6,3,3,5,13.5,9.5,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,TRUE,TRUE,6,5,0,1,1,1,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Egypt & Pyramids,9,Visit Cairo Giza Luxor and Nile River temples with optional cruise,Travel advisories in effect and safety protocols vary by region,eVisa available online for US travelers,Egypt,Hot,Mix,4,6,6,5,16,12,October to April,1,1,1,1,0,0,0,0,0,1,1,1,FALSE,FALSE,6,5,0,1,1,1,1,1,0,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Austria,8,Vienna Salzburg and the Alps rich in music culture and scenic views,Peak season can be crowded especially in summer,Visa not required for US citizens up to 90 days,Austria,Temperate,Mix,8,3,2,6,13,9.5,Apr May Sep Oct,0,0,0,1,1,0,0,0,1,1,0,0,TRUE,TRUE,5,5,0,1,1,1,0,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,New York City,6,Explore Manhattan museums Broadway Central Park and neighborhoods across the boroughs,Can be expensive lodging and dining high priced during holidays and summer,No visa required for US citizens,United States,Temperate,Urban,7,3,3,7,5.5,2,April to June and September to November,0,0,0,1,1,1,0,0,1,1,1,0,TRUE,TRUE,5,5,0,1,1,1,0,1,1,0,0.65,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,South Africa & Kruger National Park,10,Visit Cape Town drive the Garden Route and go on safari in Kruger,Malaria precautions may be required for Kruger travel advisories vary,No visa required for US citizens up to 90 days,South Africa,Hot,Mix,5,6,6,6,21,17,May to October,0,0,0,0,1,1,1,1,1,1,0,0,FALSE,TRUE,10,5,0,0,1,1,0.5,1,0,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,New Zealand,9.5,Urban culture in Auckland Wellington Rotorua waterfalls and Southern Alps day trips scenic drives spa and wine,Long overnight flight and jet lag to overcome always-changing weather,No visa up to 90 days,New Zealand,Temperate,Mix,7,4,2,8,13,12.5,Sep-Oct,0,0,0,0,0,1,1,1,1,1,0,0,FALSE,FALSE,10,5,0,0,1,1,1,1,1,0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Argentina & Patagonia,10,Explore Buenos Aires then fly to Patagonia for glaciers and hiking,Domestic flights often needed between regions and seasons are reversed from the US,No visa required for US citizens,Argentina,Cold,Mix,5,5,3,5,15,12.5,October to March,1,1,1,0,0,0,0,0,0,1,1,1,FALSE,FALSE,8,5,0,0,1,1,1,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Indonesia Bali plus Java,10,Relax in Bali explore rice terraces and temples then visit Borobudur and Mount Bromo in Java,High humidity and tropical weather plan accordingly for dry season,Visa on arrival available for US citizens,Indonesia,Hot,Mix,6,4,4,3,19,20,April to October,0,0,0,1,1,1,1,1,1,1,0,0,FALSE,FALSE,6,5,0,0,1,1,1,1,1,0,0.85,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,India,10,Explore Delhi Agra Jaipur then head to Kerala or Goa for nature and relaxation,Some areas can be overwhelming for first time travelers prepare for sensory overload and check travel advisories for regional safety,E visa required for US citizens,India,Hot,Mix,4,5,6,3,17.5,15.5,October to March,1,1,1,0,0,0,0,0,0,1,1,1,FALSE,FALSE,6,5,0,0,1,1,1,1,0,0,0.85,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Chile,10,From Santiago to Atacama Desert and Patagonia explore Chile's stunning variety,Long internal flights may be needed to see multiple regions,No visa required for US citizens,Chile,Mix,Mix,5,6,3,6,14.5,12.3,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,FALSE,FALSE,6,5,0,0,1,1,1,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Japan,10,Visit Tokyo Kyoto and Hiroshima plus temples onsens and high speed rail,Cultural etiquette is important respect customs and language barriers,No visa required for US citizens for stays under 90 days,Japan,Temperate,Mix,7,4,2,7,11,13,March to May and October to November,0,0,1,1,1,0,0,0,0,1,1,0,TRUE,TRUE,5,5,0,0,1,1,0,1,1,0,0.65,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Disneyland,4,Classic family amusement park in Anaheim with multiple themed lands,Can be very crowded and hot during summer and school holidays,No visa required for US citizens,United States,Hot,Urban,10,2,2,6,1.5,4,January to March and October to November,1,1,1,0,0,0,0,0,0,1,1,0,FALSE,FALSE,1,5,0,0,1,1,1,1,1,0,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Las Vegas,4,Casino hopping shows fine dining and nearby desert excursions,Extremely hot in summer and weekends are very crowded,No visa required for US citizens,United States,Hot,Urban,4,2,3,5,1.5,4,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,TRUE,TRUE,3,5,0,0,1,1,0,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Charlotte,5,Walkable uptown district with museums plus local food and southern charm,Best visited in spring or fall to avoid summer humidity,No visa required for US citizens,United States,Temperate,Urban,7,2,2,4,5.5,2,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,5,5,0,0,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Charlestown,5,Charming old town architecture carriage rides and low country cuisine,Warm and humid summers and potential for hurricanes in fall,No visa required for US citizens,United States,Hot,Urban,7,2,2,5,6,2,March to May and September to November,0,0,1,1,1,0,0,0,1,1,1,0,FALSE,TRUE,5,5,0,0,1,1,0.5,1,1,0,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Nashville,5,Visit country music landmarks live shows and southern cuisine spots,Crowds increase during music festivals and holidays,No visa required for US citizens,United States,Temperate,Urban,6,2,3,4,4.5,1.5,April to June and September to October,0,0,0,1,1,1,0,0,1,1,0,0,FALSE,FALSE,4,5,0,0,1,1,1,1,1,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Puerto Rico,6,Explore Old San Juan El Yunque Rainforest and island beaches,US territory no passport needed for citizens but hurricane season runs June to November,No visa required for US citizens,United States,Hot,Mix,8,3,3,4,9.5,5,December to April,1,1,1,1,0,0,0,0,0,0,0,1,FALSE,FALSE,6,5,0,1,1,1,1,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,The Bahamas,6,Relax at beach resorts go snorkeling or diving and island hop by ferry,Hurricane season runs from June to November travel in winter is best,No visa required for US citizens,Bahamas,Hot,Nature,8,4,3,6,8.5,4,December to April,1,1,1,1,0,0,0,0,0,0,0,1,FALSE,FALSE,5,5,0,1,1,1,1,1,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,Vancouver & Victoria Island,6,Explore downtown Vancouver and ferry to Victoria for gardens and coastal walks,Border crossing into Canada may require passport and customs time,No visa required for US citizens,Canada,Temperate,Mix,8,3,2,5,2.5,4,June to September,0,0,0,0,0,1,1,1,1,0,0,0,FALSE,FALSE,6,5,0,1,1,1,1,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Singapore,7,Visit Marina Bay Gardens Little India Chinatown and Sentosa Island,Strict rules and fines apply for minor infractions cleanliness is highly enforced,No visa required for US citizens,Singapore,Hot,Urban,9,3,1,7,17.5,18,February to April,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,FALSE,5,5,0,1,1,1,1,1,1,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Dubai,7,Visit the Burj Khalifa Desert Safari Dubai Mall and Palm Jumeirah,Hot weather conservative dress expected in some areas,No visa required for US citizens,United Arab Emirates,Hot,Urban,7,3,3,7,16,13.5,November to March,1,1,1,0,0,0,0,0,0,0,1,1,FALSE,FALSE,3,5,0,1,1,1,1,1,1,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Nova Scotia,7,Explore Halifax Bay of Fundy and Cape Breton Island by car,Driving required to access many key natural sights,eTA required for US travelers by air,Canada,Temperate,Mix,7,3,1,5,9.5,4.5,June to September,0,0,0,0,0,1,1,1,1,0,0,0,FALSE,TRUE,3,5,0,1,1,1,0.5,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Glacier National Park,7,Hiking Going to the Sun Road lakes and wildlife in Montana’s iconic park,Limited seasonal access and some areas require timed entry permits,No visa required for US citizens,United States,Temperate,Nature,6,6,3,4,2.5,3.5,July to September,0,0,0,0,0,0,1,1,1,0,0,0,FALSE,TRUE,4,5,0,1,1,1,0.5,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Banff,7,Hike turquoise lakes and mountain trails in the Canadian Rockies,Requires car rental for full access some roads may close early due to snow,eTA required for US travelers by air,Canada,Cold,Nature,6,5,3,6,3,4.5,June to September,0,0,0,0,0,1,1,1,1,0,0,0,FALSE,TRUE,4,5,0,1,1,1,0.5,1,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Belize Ambergris Caye,7,Snorkeling reef diving and beach time in a laid back Caribbean setting,Mosquitoes and humidity are high in wet season plan for dry season travel,No visa required for US citizens,Belize,Hot,Nature,7,4,3,5,7,5,December to May,1,1,1,1,1,0,0,0,0,0,0,1,FALSE,TRUE,5,5,0,1,1,1,0.5,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Cuba,7,Explore Havana Vinales and Trinidad with cultural stops and beach time,US citizens must qualify under permitted travel categories and keep records,Tourist card required even for US citizens,Cuba,Hot,Mix,5,8,4,4,7.5,4,November to April,1,1,1,1,0,0,0,0,0,0,1,1,FALSE,FALSE,8,5,0,1,1,1,1,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Alaska,8,Cruise the coast or road trip through Denali National Park and glaciers,Weather can be unpredictable and many areas are remote,No visa required for US citizens,United States,Cold,Nature,6,4,2,6,4.5,6.5,June to September,0,0,0,0,0,1,1,1,1,0,0,0,FALSE,TRUE,6,5,0,1,1,1,0.5,1,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Iceland,8,Drive the Ring Road visit waterfalls hot springs and volcanic landscapes,Weather can be unpredictable pack layers and plan backup activities,No visa required for US citizens under 90 days,Iceland,Cold,Nature,6,6,2,8,9.5,6.5,June to September,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,TRUE,4,5,0,1,1,1,0,1,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Inca Trail,8,Trek to Machu Picchu through Sacred Valley and high Andean passes,Permits required and hiking at altitude can be challenging,No visa required for US citizens,Peru,Temperate,Nature,3,7,4,5,11,9.5,May to September,0,0,0,0,1,1,1,1,1,0,0,0,FALSE,FALSE,7,5,0,1,1,1,1,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Switzerland,8,Ride scenic trains visit the Alps and explore Zurich Lucerne and Interlaken,Very expensive destination with excellent public transportation,No visa required for US citizens under 90 days,Switzerland,Temperate,Mix,7,3,2,9,12.5,9,June to September,0,0,0,0,0,1,1,1,1,0,0,0,FALSE,TRUE,6,5,0,1,1,1,0.5,1,1,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Costa Rica,9,Explore cloud forests beaches and volcanoes around Arenal and Monteverde,Rainy season lasts from May to November best to go during dry months,No visa required for US citizens for up to 90 days,Costa Rica,Hot,Nature,8,5,3,5,6.5,5,December to April,1,1,1,1,0,0,0,0,0,0,0,1,TRUE,TRUE,5,5,0,1,1,1,0,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Norway,9,Cruise fjords visit Oslo Bergen and scenic rail journeys,Very expensive and weather can be unpredictable in shoulder seasons,No visa required for US citizens under 90 days,Norway,Cold,Mix,7,5,2,9,11,8,June to September,0,0,0,0,0,1,1,1,1,0,0,0,FALSE,FALSE,6,5,0,1,1,1,1,1,1,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Colombia,9.5,Colonial towns jungle treks and vibrant cities like Medellin and Cartagena,Some regions may be unsafe due to local conflicts check travel advisories,Visa not required for stays under 90 days for US citizens,Colombia,Temperate,Mix,5,6,6,3,8.5,6.5,Dec Jan Feb Mar,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,FALSE,6,5,0,0,1,1,1,1,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Peru No Inca Trail,9.5,Explore Lima Sacred Valley and Machu Picchu without trekking the trail,High altitude in Cusco and Sacred Valley may require adjustment time,No visa required for US citizens for stays under 90 days,Peru,Temperate,Mix,5,6,5,4,12.3,8.8,May to September,0,0,0,0,1,1,1,1,1,0,0,0,FALSE,FALSE,7,5,0,0,1,1,1,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,Fiji,10.5,Relaxing island escape with beaches snorkeling and volcano hikes,Watch for dengue outbreak mid-year petty theft in towns CDC Level 1 cyclone season Nov-Apr,No visa required up to 4 months,Fiji,Hot,Nature,7,4,3,8,11.4,14,May-Oct,0,0,0,0,1,1,1,1,1,1,0,0,FALSE,FALSE,6,5,0,0,1,1,1,1,1,0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0
FALSE,Great Barrier Reef & Australia East Coast,12,Snorkel the reef visit Sydney and roadtrip up or down the east coast,Long travel time and reef is experiencing bleaching events,eVisitor visa required for US citizens,Australia,Hot,Mix,6,9,3,7,15,18,June to November,0,0,0,0,0,1,1,1,1,1,1,0,TRUE,FALSE,9,5,0,0,1,1,0.5,1,1,0,0.65,1,0,0,0,0,0,0,0,0,0,1,0,0